,Tot,C,P,G,N,"T
","Incident[nb 1]
","Aircraft
","Location
","Phase
","Airport
","Distance
","Date
"
382,118,17,118,0,3,0,513,194,471,3,0,0,33
383,118,3,109,0,3,5,0,215,163,8,0,0,32
384,118,25,112,0,3,0,521,213,428,0,82,52,30
385,117,0,120,0,0,0,286,101,5,0,70,106,507
386,117,17,115,10,0,0,315,99,33,10,6,0,454
387,117,22,114,0,1,0,530,313,77,0,164,7,436
388,117,23,113,0,3,0,151,95,142,0,180,52,410
389,117,24,112,0,3,0,17,24,398,0,220,34,164
390,117,12,118,0,0,0,129,268,453,0,113,23,49
391,116,25,109,0,3,0,51,30,301,3,0,0,238
392,116,2,108,0,0,0,176,205,231,0,81,15,116
393,116,17,116,0,0,0,18,238,234,0,9,3,101
394,116,3,107,0,3,0,36,310,307,3,0,0,46
395,115,21,113,0,3,0,222,251,174,3,0,0,368
396,115,17,115,0,0,4,291,108,340,3,0,0,333
397,115,21,113,0,3,0,42,312,314,3,0,0,268
398,115,24,109,0,3,0,47,237,235,3,0,0,199
399,115,24,109,0,3,0,171,322,54,3,0,0,171
400,115,3,106,0,3,0,91,54,177,0,167,55,135
401,115,24,109,0,3,0,520,338,188,0,21,28,89
402,115,24,109,0,3,0,92,263,347,0,51,24,57
403,115,22,112,0,3,0,361,270,431,3,0,0,55
404,114,23,109,0,3,0,234,133,239,6,178,0,535
405,114,22,110,0,3,5,436,36,368,0,98,34,413
406,114,21,110,1,3,0,19,312,315,5,218,86,232
407,114,3,105,0,3,0,90,53,475,3,0,0,154
408,114,17,114,0,0,0,211,268,441,5,22,100,59
409,114,17,114,0,3,0,472,169,1,3,0,0,39
410,113,3,103,0,3,0,192,321,99,0,223,41,452
411,113,17,113,0,3,5,401,294,161,13,0,0,384
412,113,19,112,0,3,0,244,227,198,3,0,0,266
413,113,25,106,0,0,0,296,277,322,5,194,0,189
414,113,21,110,0,0,0,397,305,251,0,38,74,158
415,113,19,112,0,3,0,5,325,215,3,0,0,136
416,113,6,100,0,3,0,529,206,295,3,0,0,65
417,113,3,103,0,0,0,502,214,65,0,72,95,54
418,113,25,106,0,0,0,410,200,253,0,30,11,44
419,113,22,109,0,3,0,68,194,32,3,0,0,43
420,113,17,0,24,3,5,499,170,407,0,59,98,6
421,113,3,0,21,3,5,486,170,278,13,0,0,5
422,112,22,108,0,3,0,223,31,143,3,0,0,488
423,112,22,102,20,0,0,125,110,190,0,157,57,459
424,112,2,103,0,3,0,455,10,12,3,0,0,408
425,112,30,158,0,3,5,246,293,161,13,0,0,396
426,112,17,112,0,3,1,440,222,356,3,0,0,328
427,112,0,115,0,0,4,217,107,245,9,134,0,323
428,112,2,103,0,3,0,337,318,238,0,18,28,228
429,112,21,109,0,0,0,102,325,157,3,0,0,188
430,111,22,107,0,3,0,242,335,285,3,0,0,353
431,111,21,108,0,3,1,107,327,16,3,0,0,262
432,111,0,114,0,0,0,321,317,6,4,0,0,254
433,111,19,109,0,3,0,407,329,131,3,0,0,236
434,111,19,109,0,0,0,332,135,4,10,142,19,219
435,111,17,21,18,3,5,309,179,355,3,0,0,124
436,111,12,112,0,0,5,501,256,91,10,77,0,109
437,111,25,103,0,3,0,26,238,305,3,0,0,73
438,111,19,109,0,3,0,329,194,59,3,0,0,53
439,111,25,103,0,3,0,503,212,43,3,0,0,38
440,111,19,109,0,3,5,500,183,89,0,141,53,7
441,109,22,106,0,3,5,539,26,15,3,0,0,377
442,109,17,109,0,0,0,50,315,53,5,137,28,312
443,109,1,112,0,0,0,14,311,322,3,0,0,263
444,109,21,107,0,3,3,108,193,478,0,19,80,197
445,109,12,109,1,3,0,372,191,266,0,160,23,141
446,109,21,107,0,0,0,130,80,435,0,44,68,111
447,109,23,105,0,3,0,210,202,438,3,0,0,93
448,109,25,102,0,0,0,300,247,199,3,0,0,41
449,109,23,105,0,3,2,221,265,74,3,0,0,31
450,109,24,103,0,3,0,476,195,271,3,0,0,29
451,109,23,105,0,3,0,200,190,151,3,0,0,19
452,109,17,109,0,3,0,360,194,436,3,0,0,16
453,109,21,0,23,3,0,298,228,113,3,0,0,3
454,108,23,103,0,3,0,140,289,393,0,92,33,505
455,108,21,106,0,3,0,3,34,29,3,0,0,464
456,108,21,106,0,0,0,480,124,395,0,215,72,406
457,108,23,103,0,3,5,428,244,49,3,0,0,360
458,108,21,106,0,3,0,406,329,134,3,0,0,264
459,108,19,107,0,3,0,22,31,304,0,179,34,175
460,108,21,106,0,3,0,193,181,96,5,174,117,97
461,107,12,107,0,0,0,268,110,181,10,96,26,389
462,107,12,108,0,0,0,341,274,294,6,62,0,385
463,107,12,108,0,0,0,58,31,48,3,0,0,205
464,107,1,103,20,0,0,527,204,240,0,177,26,123
465,107,19,106,0,0,0,148,187,107,5,41,21,113
466,107,19,106,0,3,0,348,183,446,3,0,0,23
467,106,22,100,10,3,0,185,159,92,5,17,57,486
468,106,23,101,0,3,1,328,30,370,3,0,0,450
469,106,1,108,0,0,0,188,165,103,10,90,0,392
470,106,21,103,0,3,0,386,177,128,3,0,0,358
471,106,12,107,0,0,0,167,104,408,10,125,0,321
472,106,24,100,0,0,0,475,86,67,0,66,52,274
473,106,19,105,0,3,0,61,31,401,3,0,0,149
474,106,23,101,0,3,0,78,197,79,3,0,0,87
475,106,23,101,0,3,0,461,271,141,3,0,0,18
476,106,19,105,0,1,0,213,194,462,0,47,17,14
477,105,21,102,0,3,0,479,0,95,3,0,0,533
478,105,23,100,0,3,0,182,100,95,3,0,0,362
479,105,21,102,0,3,0,367,221,275,3,0,0,356
480,105,31,159,0,3,5,224,26,144,13,0,0,335
481,105,12,106,0,0,0,24,315,316,3,0,0,327
482,105,2,97,0,3,5,293,299,65,13,0,0,251
483,105,19,103,0,3,0,117,229,379,3,0,0,105
484,105,21,102,0,3,0,394,174,65,0,72,110,56
485,105,25,98,0,0,0,449,200,153,5,20,94,51
486,104,2,96,0,3,0,94,81,105,3,0,0,446
487,104,22,100,0,3,0,232,32,373,6,226,0,423
488,104,21,101,0,3,0,326,220,35,3,0,0,412
489,104,32,160,0,0,1,158,34,20,3,0,0,337
490,104,19,0,19,3,0,72,208,132,10,211,0,308
491,104,12,105,0,0,0,353,224,10,0,60,59,305
492,104,19,102,0,3,5,310,217,354,10,191,0,292
493,104,22,100,0,3,5,309,217,352,3,0,0,290
494,104,21,101,0,3,0,317,33,290,3,0,0,146
495,104,25,97,0,3,5,487,185,40,3,0,0,20
496,104,1,106,0,0,0,439,182,458,5,185,28,13
